Product_ID,Dealer_ID,Date_ID,Quantity,Revenue
1,1,1,1,200
2,2,2,2,300
3,3,3,3,100
4,4,4,1,220
5,5,5,2,440
6,6,6,3,110
7,7,7,1,242
8,8,8,2,543
9,9,9,3,77
10,10,10,1,44
11,11,11,2,200
12,12,12,3,300
13,13,13,1,100
14,14,14,2,220
15,15,15,3,440
16,16,16,1,110
17,17,17,2,242
18,18,18,3,543
19,19,19,1,77
20,20,20,2,44
21,21,21,3,200
22,22,22,1,300
23,23,23,2,100
24,24,24,3,220
25,25,25,1,440
26,26,26,2,110
27,27,27,3,242
28,28,28,1,543
29,29,29,2,77
30,30,30,3,44
31,31,31,1,200
32,32,32,2,300
33,33,33,3,100
34,34,34,1,220
35,35,35,2,440
36,36,36,3,110
37,37,37,1,242
38,38,38,2,543
39,39,39,3,77
40,40,40,1,44
41,41,41,2,200
42,42,42,3,300
43,43,43,1,100
44,44,44,2,220
45,45,45,3,440
46,46,46,1,110
47,47,47,2,242
48,48,48,3,543
49,49,49,1,77
50,50,50,2,44
51,51,51,3,200
52,52,52,1,300
53,53,53,2,100
54,54,54,3,220
55,55,55,1,440
56,56,56,2,110
57,57,57,3,242
58,58,58,1,543
59,59,59,2,77
60,60,60,3,44
61,61,61,1,200
62,62,62,2,300
63,63,63,3,100
64,64,64,1,220
65,65,65,2,440
66,66,66,3,110
67,67,67,1,242
68,68,68,2,543
69,69,69,3,77
70,70,70,1,44
71,71,71,2,200
72,72,72,3,300
73,73,73,1,100
74,74,74,2,220
75,75,75,3,440
76,76,76,1,110
77,77,77,2,242
78,78,78,3,543
79,79,79,1,77
80,80,80,2,44
81,81,81,3,200
82,82,82,1,300
83,83,83,2,100
84,84,84,3,220
85,85,85,1,440
86,86,86,2,110
87,87,87,3,242
88,88,88,1,543
89,89,89,2,77
90,90,90,3,44
91,91,91,1,200
92,92,92,2,300
93,93,93,3,100
94,94,94,1,220
95,95,95,2,440
96,96,96,3,110
97,97,97,1,242
98,98,98,2,543
99,99,99,3,77
100,100,100,1,44
101,101,101,2,200
102,102,102,3,300
103,103,103,1,100
104,104,104,2,220
105,105,105,3,440
